Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,0,4,8,Some Random Commen with Id 0
1,1,0,87,7,Some Random Commen with Id 1
2,1,0,39,7,Some Random Commen with Id 2
3,1,0,27,9,Some Random Commen with Id 3
4,2,1,115,4,Some Random Commen with Id 4
5,2,1,6,6,Some Random Commen with Id 5
6,2,1,54,4,Some Random Commen with Id 6
7,2,1,69,7,Some Random Commen with Id 7
8,2,1,161,2,Some Random Commen with Id 8
9,2,1,35,4,Some Random Commen with Id 9
10,2,1,6,5,Some Random Commen with Id 10
11,2,1,91,8,Some Random Commen with Id 11
12,3,4,7,7,Some Random Commen with Id 12
13,3,4,100,2,Some Random Commen with Id 13
14,3,4,17,3,Some Random Commen with Id 14
15,3,4,16,7,Some Random Commen with Id 15
16,3,4,148,5,Some Random Commen with Id 16
17,3,4,44,0,Some Random Commen with Id 17
18,3,4,176,7,Some Random Commen with Id 18
19,4,2,99,5,Some Random Commen with Id 19
20,4,2,12,6,Some Random Commen with Id 20
21,4,2,5,4,Some Random Commen with Id 21
22,5,2,125,3,Some Random Commen with Id 22
23,6,5,47,5,Some Random Commen with Id 23
24,6,5,190,2,Some Random Commen with Id 24
25,6,5,95,8,Some Random Commen with Id 25
26,6,5,89,9,Some Random Commen with Id 26
27,7,4,11,5,Some Random Commen with Id 27
28,7,4,187,4,Some Random Commen with Id 28
29,7,4,19,3,Some Random Commen with Id 29
30,7,4,158,2,Some Random Commen with Id 30
31,7,4,28,8,Some Random Commen with Id 31
32,7,4,117,3,Some Random Commen with Id 32
33,9,7,104,9,Some Random Commen with Id 33
34,9,7,3,5,Some Random Commen with Id 34
35,9,7,69,3,Some Random Commen with Id 35
36,9,7,176,6,Some Random Commen with Id 36
37,9,7,167,1,Some Random Commen with Id 37
38,9,7,12,7,Some Random Commen with Id 38
39,11,5,84,0,Some Random Commen with Id 39
40,11,5,34,5,Some Random Commen with Id 40
41,11,5,44,7,Some Random Commen with Id 41
42,11,5,107,4,Some Random Commen with Id 42
43,11,5,197,9,Some Random Commen with Id 43
44,11,5,47,3,Some Random Commen with Id 44
45,11,5,74,3,Some Random Commen with Id 45
46,11,5,30,5,Some Random Commen with Id 46
47,11,5,185,5,Some Random Commen with Id 47
48,13,1,131,0,Some Random Commen with Id 48
49,13,1,128,1,Some Random Commen with Id 49
50,13,1,83,2,Some Random Commen with Id 50
51,13,1,10,1,Some Random Commen with Id 51
52,13,1,193,6,Some Random Commen with Id 52
53,13,1,55,1,Some Random Commen with Id 53
54,13,1,27,5,Some Random Commen with Id 54
55,13,1,43,2,Some Random Commen with Id 55
56,13,1,164,7,Some Random Commen with Id 56
57,14,5,189,0,Some Random Commen with Id 57
58,14,5,113,5,Some Random Commen with Id 58
59,14,5,176,3,Some Random Commen with Id 59
60,15,6,191,7,Some Random Commen with Id 60
61,15,6,45,0,Some Random Commen with Id 61
62,15,6,75,6,Some Random Commen with Id 62
63,15,6,79,2,Some Random Commen with Id 63
